method,theoretical_order,k,h_coarse,h_fine,approximation,true_error,p_true,p_observed,estimated_error,richardson,richardson_true_error,status
central_stable,2,11,0.00048828125,0.0001220703125,1.000000002483527,2.4835269396561444e-09,1.9999999677532536,2.000000021497831,2.4835268162980317e-09,1.0,0.0,ok
forward_naive,1,12,0.000244140625,6.103515625e-05,1.0000305182002194,3.051820021937601e-05,1.0000292791523453,1.0000881545376075,3.0515709569162614e-05,1.0000000024906501,2.4906501305821394e-09,ok
forward_stable,1,12,0.000244140625,6.103515625e-05,1.0000305181990161,3.05181990161163e-05,1.0000293521570822,1.000088056455034,3.051571560332139e-05,1.0000000024834128,2.483412808729213e-09,ok
central_naive,2,12,0.000244140625,6.103515625e-05,1.0000000006211849,6.2118488131091e-10,1.9992076731841735,2.000352263471629,6.205280898119367e-10,1.0000000000006568,6.568079413682426e-13,ok
central_stable,2,12,0.000244140625,6.103515625e-05,1.0000000006208818,6.208817904251873e-10,1.9999998710130216,2.0,6.20881716410319e-10,1.0,0.0,ok
forward_naive,1,13,0.0001220703125,3.0517578125e-05,1.0000152589418576,1.5258941857609898e-05,1.000014962263211,1.0000435956024512,1.525833618987205e-05,1.0000000006056677,6.05667738184934e-10,ok
forward_stable,1,13,0.0001220703125,3.0517578125e-05,1.0000152589442841,1.525894428411334e-05,1.0000146759613382,1.0000440279049494,1.525832341631262e-05,1.0000000006208678,6.20867801615077e-10,ok
central_naive,2,13,0.0001220703125,3.0517578125e-05,1.000000000154614,1.546140993013978e-10,2.0063508321523886,1.996832720921317,1.5597967492400114e-10,0.9999999999986344,1.3655743202889425e-12,ok
central_stable,2,13,0.0001220703125,3.0517578125e-05,1.0000000001552205,1.5522050311744806e-10,1.999999484052201,2.0,1.5522042910257974e-10,1.0,0.0,ok
forward_naive,1,14,6.103515625e-05,1.52587890625e-05,1.000007629438187,7.629438186995685e-06,1.000006191326719,1.0000237330711004,7.629252658335152e-06,1.0000000001855287,1.8552870351129513e-10,ok
forward_stable,1,14,6.103515625e-05,1.52587890625e-05,1.0000076294333364,7.62943333643129e-06,1.000007337968424,1.0000220138422837,7.62927811814866e-06,1.0000000001552183,1.552182826713988e-10,ok
central_naive,2,14,6.103515625e-05,1.52587890625e-05,1.0000000000400178,4.001776687800884e-11,1.9499593175004046,2.0255350921071376,3.7310433812266174e-11,1.0000000000027072,2.7071678232459817e-12,ok
central_stable,2,14,6.103515625e-05,1.52587890625e-05,1.0000000000388052,3.8805181290513246e-11,1.99999793621065,2.0,3.8805107275644936e-11,1.0,0.0,ok
forward_naive,1,15,3.0517578125e-05,7.62939453125e-06,1.0000038146972656,3.814697265625e-06,1.0000082551436233,1.0000041275304805,3.81471909362274e-06,0.9999999999781718,2.1828205909457665e-11,ok
forward_stable,1,15,3.0517578125e-05,7.62939453125e-06,1.0000038147069668,3.814706966753789e-06,1.0000036690192022,1.0000110068896542,3.8146681622386325e-06,1.0000000000388045,3.880451515669847e-11,ok
central_naive,2,15,3.0517578125e-05,7.62939453125e-06,1.000000000007276,7.275957614183426e-12,2.4594316186372973,1.8073549220576042,1.3096723705530167e-11,0.9999999999941792,5.820788295807233e-12,ok
central_stable,2,15,3.0517578125e-05,7.62939453125e-06,1.0000000000097014,9.701350833779543e-12,1.999991744872122,2.0,9.701276818911234e-12,1.0,0.0,ok
forward_naive,1,16,1.52587890625e-05,3.814697265625e-06,1.0000019073486328,1.9073486328125e-06,1.0,1.0000165102400107,1.9073049780659928e-06,1.0000000000436549,4.3654857506680855e-11,ok
forward_stable,1,16,1.52587890625e-05,3.814697265625e-06,1.0000019073510582,1.9073510582057196e-06,1.0000018343661423,1.000005503665263,1.9073413560777388e-06,1.000000000009702,9.702016967594318e-12,ok
central_naive,2,16,1.52587890625e-05,3.814697265625e-06,1.0,0.0,,2.169925001442312,2.0788450326238367e-12,0.9999999999979211,2.0788926136106056e-12,ok
central_stable,2,16,1.52587890625e-05,3.814697265625e-06,1.0000000000024254,2.425393219596117e-12,1.9999669799608402,2.0,2.4253192047278085e-12,1.0,0.0,ok
forward_naive,1,17,7.62939453125e-06,1.9073486328125e-06,1.0000009536743164,9.5367431640625e-07,1.0,1.0,9.5367431640625e-07,1.0,0.0,ok
forward_stable,1,17,7.62939453125e-06,1.9073486328125e-06,1.0000009536749226,9.536749225880214e-07,1.0000009175198492,1.000002751210687,9.536724983188975e-07,1.000000000002424,2.4240609519665668e-12,ok
